"code","iso","country","FTD.ind.1995","FTD.ind.1996","FTD.ind.1997","FTD.ind.1998","FTD.ind.1999","FTD.ind.2000","FTD.ind.2001","FTD.ind.2002","FTD.ind.2003","FTD.ind.2004","FTD.ind.2005","FTD.ind.2006","FTD.ind.2007","FTD.ind.2008","FTD.ind.2009","FTD.ind.2010","FTD.ind.2011","FTD.ind.2012","FTD.ind.2013","FTD.ind.2014","FTD.ind.2015","FTD.ind.2016","FTD.ind.2017","FTD.ind.2018","FTD.ind.2019","FTD.ind.2020","FTD.ind.2021","FTD.ind.2022"
44,"BHS","Bahamas",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
48,"BHR","Bahrain",5.71305922770919,5.22147477380923,5.94977618965741,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024,6.81963486354024
50,"BGD","Bangladesh",11.1606829510162,11.2361362497238,11.4053015031041,11.2256383760549,11.4877105694192,11.7718726181764,12.2692799388267,12.6248624380568,12.5694116840313,13.0751133643935,13.5847436608078,12.0669695896107,12.1199280668616,12.3539474335196,13.1902318599366,14.2404972751905,12.8499173260788,10.5666263484755,10.9037338666482,11.1852275919912,11.2033483648701,11.0107344000639,11.4779999727141,11.285754407477,11.285754407477,11.285754407477,11.285754407477,11.285754407477
52,"BRB","Barbados",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
112,"BLR","Belarus",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
56,"BEL","Belgium",11.9587930177206,11.3788226435003,12.2136820647375,11.6333492220045,11.7533334346697,10.7786934178183,11.3797903263138,10.6678080335451,10.7841533396774,9.93409294520403,10.3756459471066,8.835274138619,7.78284723096679,7.61680569353398,8.87486556624914,8.80776673280329,7.50451597844867,14.2519984247042,7.94316011002904,8.23536150487026,8.99723710897469,9.25234821909768,8.2473805854211,12.3401404403911,12.3401404403911,12.3401404403911,12.3401404403911,12.3401404403911
84,"BLZ","Belize",23.7176584417175,28.3302867646719,31.383708687545,34.4371306104181,28.7360897145685,27.2200625005626,33.2368015111899,61.3350531672704,52.6762413133503,33.3292786099391,75.8843038014383,66.171853883154,56.4594039648698,52.4494025239699,48.4394010830699,44.42939964217,40.4193982012701,30.7454955696437,25.0953168204147,28.9185545045457,26.7223454405663,30.1498194413581,30.0608689978141,34.3709639488424,34.3709639488424,34.3709639488424,34.3709639488424,34.3709639488424
204,"BEN","Benin",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
68,"BOL","Bolivia",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
70,"BIH","Bosnia and Herzegovina",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
72,"BWA","Botswana",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
